Date,Mkt_RF,SMB,HML,RMW,CMA,RF,AAPL_RET
2021-04-08,0.62,0.27,-1.17,-0.52,-0.38,0.0,1.923387853432179
2021-04-09,0.65,-0.61,0.15,0.79,0.09,0.0,2.0251622649908096
2021-04-12,-0.04,-0.46,0.56,0.73,-0.36,0.0,-1.3233031321635225
2021-04-13,0.41,-0.77,-1.6,-1.07,-0.37,0.0,2.4306506995973143
2021-04-14,-0.34,1.18,1.41,0.01,0.67,0.0,-1.7853359540356273
2021-04-15,1.06,-0.8,-1.19,0.1,-0.54,0.0,1.870781474631067
2021-04-16,0.27,-0.19,0.65,0.83,0.18,0.0,-0.25274385314928427
2021-04-19,-0.72,-0.66,0.79,0.72,0.43,0.0,0.5068502732413993
2021-04-20,-0.93,-1.38,-1.57,0.38,-0.46,0.0,-1.283025435577556
2021-04-21,1.1,1.53,0.12,-0.47,0.09,0.0,0.2929861626592256
2021-04-22,-0.78,0.63,-0.77,-0.2,-0.2,0.0,-1.1685445155987684
2021-04-23,1.26,0.77,0.69,-0.35,0.03,0.0,1.803843118284898
2021-04-26,0.41,0.79,-0.5,-1.2,-0.07,0.0,0.2977997597821025
2021-04-27,-0.03,0.08,0.85,0.54,0.06,0.0,-0.24493526594541182
2021-04-28,-0.07,0.29,0.2,-0.3,-0.33,0.0,-0.6027264910556274
2021-04-29,0.4,-0.76,1.09,1.33,-0.22,0.0,-0.07485942893386
2021-04-30,-0.82,-0.52,-0.33,0.13,-0.41,0.0,-1.5133214753296986
2021-05-03,0.18,0.73,1.7,1.05,1.08,0.0,0.8215388128169465
2021-05-04,-0.89,-0.24,2.0,1.09,0.57,0.0,-3.5385775195667657
2021-05-05,-0.05,-0.16,1.33,0.64,0.61,0.0,0.195554627552319
2021-05-06,0.49,-0.49,1.18,1.23,0.58,0.0,1.2802729657508616
2021-05-07,0.84,0.45,-0.08,-0.22,0.15,0.0,0.532739337243715
2021-05-10,-1.35,-1.28,1.68,1.16,0.77,0.0,-2.580469644730654
2021-05-11,-0.63,0.69,-0.87,-0.83,-0.05,0.0,-0.7410353634049516
2021-05-12,-2.34,-1.15,0.7,-0.29,0.14,0.0,-2.493854579285548
2021-05-13,1.04,0.48,1.13,1.38,0.34,0.0,1.7919697954263736
2021-05-14,1.79,0.97,-0.16,-0.24,-0.04,0.0,1.9844866574879605
2021-05-17,-0.24,0.72,0.84,0.02,0.58,0.0,-0.9258602524082837
2021-05-18,-0.7,0.05,-0.93,-1.02,-0.43,0.0,-1.1245610454055477
2021-05-19,-0.34,-0.53,-0.46,-0.18,-0.33,0.0,-0.12815463587698694
2021-05-20,1.14,-0.49,-1.42,-0.85,-0.48,0.0,2.101206949436918
2021-05-21,-0.04,0.46,0.98,-0.11,-0.06,0.0,-1.4767156663269776
